"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","FFD.Pred","FFD.Pred.StdErr","FFD.ci_lower","FFD.ci_upper"
"E_CU_1",176.08,13.44,5.92,6.6,176.13,13.44,149.79,202.48
"E_CU_2",44.9,14.13,7.21,6.6,221.03,13.42,194.73,247.33
"E_CU_3",50.6,14.07,6.92,6.6,226.73,13.41,200.45,253.01
"E_CU_4",40.31,14.21,7.5,6.6,216.44,13.46,190.07,242.82
"E_PU_1",12.98,13.94,5.66,6.6,189.11,13.42,162.81,215.42
"E_PU_2",38.75,13.98,6.53,6.6,214.88,13.34,188.73,241.04
"E_PU_3",26.71,14.02,6.77,6.6,202.84,13.35,176.67,229.01
"E_PU_4",44.35,13.96,6.29,6.6,220.48,13.35,194.32,246.65
"H_CU_1",9.07,17.65,5.92,6.6,185.2,14.69,156.4,213.99
"H_CU_2",55.75,17.77,7.26,6.6,231.88,14.67,203.13,260.62
"H_CU_3",40.53,17.73,7.02,6.6,216.66,14.66,187.93,245.4
"H_CU_4",45.65,17.82,7.51,6.6,221.78,14.7,192.98,250.59
"H_PU_1",7.78,17.59,5.65,6.6,183.91,14.64,155.23,212.6
"H_PU_2",75.29,17.62,6.46,6.6,251.42,14.57,222.86,279.98
"H_PU_3",67.92,17.65,6.68,6.6,244.05,14.58,215.48,272.63
"H_PU_4",47.8,17.6,6.23,6.6,223.93,14.58,195.36,252.5
"N_CU_1",0.33,15.66,5.9,6.6,176.46,12.21,152.52,200.39
"N_CU_2",17.39,15.79,7.11,6.6,193.52,12.2,169.62,217.42
"N_CU_3",12.27,15.73,6.74,6.6,188.4,12.18,164.52,212.27
"N_CU_4",23.23,15.88,7.49,6.6,199.36,12.25,175.35,223.38
"N_PU_1",12.56,15.66,5.69,6.6,188.69,12.27,164.65,212.73
"N_PU_2",30.04,15.7,6.66,6.6,206.17,12.17,182.31,230.02
"N_PU_3",10.06,15.74,6.93,6.6,186.19,12.19,162.31,210.08
"N_PU_4",18.78,15.68,6.4,6.6,194.91,12.18,171.04,218.77
